time,true_x,true_y,true_z,trained_x,trained_y,trained_z
0.0,0.0,1.0,1.05,0.0,1.0,1.05
0.01,0.09510645948493665,1.0030370813714664,1.0228454712375379,0.09481922320231523,1.0020989324559357,1.0234979900085714
0.02,0.18265110610829752,1.0305090702449586,0.9973265046015489,0.1820196295158025,1.028331461469841,0.9981887463071627
0.03,0.2655841884669994,1.0805921871214774,0.9734181534845048,0.26452134302965213,1.0768847113611175,0.9741686706843689
0.04,0.3464386468758777,1.152206979111165,0.9511741065284439,0.34483142543371137,1.146675492030084,0.9515892251962421
0.05,0.42743536747487737,1.2449159229537903,0.9307191987363147,0.4251471614358966,1.2372498338539,0.9306540167142364
0.06,0.510570147662787,1.3588465211361576,0.9122499135186198,0.5074414472577281,1.3487073861610406,0.9116227878221094
0.07,0.5976859563115297,1.4946358106660913,0.8960414744444875,0.5935337571903273,1.4816466938350474,0.8948210841216876
0.08,0.6905340743539224,1.6533921070542121,0.8824607932400929,0.6851501900563938,1.6371272599667428,0.8806550133317994
0.09,0.7908263847791319,1.836671437047935,0.8719854400518331,0.7839748071584313,1.8166459025611983,0.8696313196007384
0.1,0.9002810904641638,2.0464659329344927,0.8652291911871024,0.8916944782501226,2.0221247543864047,0.8623833753130472
0.11,1.0206634408697608,2.28520219405311,0.8629752108199182,1.0100387822693093,2.255908958646478,0.859704134845125
0.12,1.1538228791322043,2.555747592062539,0.8662184640391314,1.1408163429812808,2.52077209658498,0.8625876021816625
0.13,1.301727520885599,2.861422763251164,0.876219359731654,1.2859484886807862,2.819927660068212,0.8722807158728308
0.14,1.4664967766190264,3.20601813612662,0.8945712355896399,1.4475010372909811,3.157044507338673,0.8903481278528506
0.15,1.6504325352054554,3.593812071099177,0.923284887226494,1.6277146279122723,3.5362640053528143,0.9187528812398794
0.16,1.8560490606123,4.02958741882057,0.9648940349667172,1.8290337651630066,3.9622158585266773,0.9599566287422723
0.17,2.0861013754304083,4.51864223571039,1.022586329915735,2.054134389424763,4.440028629857363,1.0170436844485273
0.18,2.343611453414025,5.066788750944329,1.1003652668314492,2.305949358609194,4.975329463901146,1.0938738812642705
0.19,2.6318909214726194,5.680332248613128,1.20324907832529,2.5876906670616253,5.57422537129948,1.1952698058063542
0.2,2.9545581698805896,6.366018529197389,1.3375128718038414,2.90286647666075,6.243255502304072,1.3272443024191052
0.21,3.315546710223973,7.130933958417533,1.5109803050181534,3.255290032412681,6.989299803468062,1.497273977019994
0.22,3.719100075550435,7.982336458911951,1.733369682665505,3.6490762181496303,7.8194242663688245,1.714623295672978
0.23,4.169746598467354,8.927387881074106,2.016696362248663,4.088619450592615,8.740635069183469,1.9907211487507928
0.24,4.672244892467919,9.972749450922276,2.3757271272181013,4.578544902747414,9.75950819419128,2.3395860558649364
0.25,5.231487372993989,11.123990107647703,2.828471335053956,5.123621055288352,10.881646592193169,2.7782869062574775
0.26,5.852345192122297,12.38474653392522,3.3966755431537674,5.728618675401522,12.110910398635493,3.3274097216871814
0.27,6.539433077513421,13.755563359030134,4.106259942189127,6.398096431408368,13.448353571872556,4.011476016803776
0.28,7.296767754438089,15.23233841582519,4.98759332740957,7.1360890204560885,14.890797086944648,4.859221551354073
0.29,8.127289004239982,16.804308026711468,6.075444018328471,7.945669259300127,16.428975848660123,5.9035919336377
0.3,9.032211030216478,18.45154598982815,7.408369131883913,8.828353814167322,18.045228104070425,7.181244585664696
0.31,10.010175879301368,20.142034910132576,9.027218032813707,9.783325150766784,19.71076730844401,8.731269401406296
0.32,11.056195874571959,21.828523447975655,10.972350157307089,10.806454472782148,21.382708369751743,10.592768563664738
0.33,12.160404649166132,23.445630628097174,13.279140337657164,11.889137743098388,23.001233806909983,12.800903494808706
0.34,13.306694340728033,24.907999708881672,15.971443576549841,13.017006259793053,24.48758603365887,15.381085440189025
0.35000000000000003,14.471404312974473,26.110694121409594,19.053011359917154,14.168649554090695,25.743928190719327,18.341238722227605
0.36,15.622340711783963,26.933331251315906,22.497494740556863,15.314590099389687,26.656422519649293,21.662594088223255
0.37,16.718524158361888,27.249413753381113,26.2386598352911,16.41686015475697,27.102925060852318,25.290312280792932
0.38,17.71113619599952,26.941605346566266,30.163607099537373,17.429611987123305,26.966193892916674,29.12628276035043
0.39,18.546089432463393,25.922048646778972,34.112639946745176,18.301180398812367,26.152189868672835,33.027317515032095
0.4,19.168405012918754,24.154357311743617,37.889194908696034,18.97783921721427,24.610920800604397,36.812022558045925
0.41000000000000003,19.528119276724517,21.67146995197066,41.28119733137596,19.409112803183433,22.354937330210753,40.27818708277995
0.42,19.586850464077894,18.58258811265193,44.0913661547464,19.55397375437945,19.469225842706383,43.22940473195021
0.43,19.323660269656816,15.064346096485103,46.16964893211465,19.38675308711165,16.107247200256396,45.505671155974404
0.44,18.73873215061243,11.33625484900266,47.438507959581095,18.901366631914158,12.47170067532084,47.009820439142885
0.45,17.853822201079094,7.626370559444753,47.90316652473902,18.11271763406996,8.784002342698841,47.72185827338276
0.46,16.70931637419482,4.136925672902258,47.64406566550901,17.054850373591776,5.250782982369169,47.697032949678686
0.47000000000000003,15.358683003188874,1.0191902054070254,46.79511532675325,15.77633116256258,2.0365485489974935,47.04917737742964
0.48,13.8617313682194,-1.637455726431528,45.51557409198433,14.334036843275811,-0.7513514180913623,45.92554223164203
0.49,12.278158547318926,-3.802734233266349,43.96379699542337,12.786767477284418,-3.0642598235133938,44.48088919577523
0.5,10.662469497899002,-5.493375331845218,42.27834766865884,11.189857716721788,-4.903338202555556,42.856946101078684
0.51,9.060754427977653,-6.757286310455767,40.568179039301874,9.59144194537627,-6.305330399684509,41.17002607412733
0.52,7.509270514443392,-7.658487325230233,38.9106261854798,8.030488944348829,-7.327656937298806,39.50653391698553
0.53,6.0344452309981325,-8.265329519697547,37.354574884874616,6.53633986729202,-8.035893525811934,37.924283154077635
0.54,4.653807855884841,-8.64269600297533,35.92613819157425,5.1293066033255945,-8.494879376504404,36.45708926111941
0.55,3.3773970788609393,-8.847739804896214,34.63485002744202,3.821881618523892,-8.763391665857114,35.12052921233887
0.56,2.209305944031939,-8.928236025890696,33.479214000109714,2.620194649838116,-8.891651069692418,33.91748646092426
0.5700000000000001,1.1491491004558285,-8.92259727220926,32.45111721581289,1.5254680001602845,-8.920753733637788,32.842789201953046
0.58,0.19334044454080337,-8.860787720003591,31.539047926293687,0.5353275815638157,-8.883233998853333,31.88673446115336
0.59,-0.6638591215116574,-8.765609664731722,30.730272013004782,-0.3550939472773403,-8.804171127524128,31.03756695055748
0.6,-1.429520502014018,-8.654043107322128,30.012197955745137,-1.1522740815221497,-8.702463855738637,30.28310155595372
0.61,-2.111426218300164,-8.538472490384018,29.373156359182538,-1.8636211363361233,-8.592057629934295,29.611703530800146
0.62,-2.717617453996164,-8.42773115201845,28.802782666975894,-2.496969183895277,-8.483023869819629,29.012817931977544
0.63,-3.2560740840068183,-8.327950811615393,28.292146317951453,-3.06021468844016,-8.382457512117645,28.477200686282806
0.64,-3.734497165144549,-8.243231188902174,27.83372807831365,-3.5610641127780127,-8.295196528430255,27.99696356282781
0.65,-4.1601681246642315,-8.176156815448442,27.42131439701017,-4.0068660207677045,-8.224384219425987,27.565511101569115
0.66,-4.539864531267526,-8.12818898857706,27.04985272735677,-4.404505918016212,-8.171900805030901,27.177421584019164
0.67,-4.879815875481818,-8.099960892779613,26.715295532084003,-4.760346814124374,-8.138690237652872,26.82830463207159
0.68,-5.185688140691344,-8.091496434323275,26.41444776248082,-5.080202332161113,-8.125005079393723,26.514655208950558
0.6900000000000001,-5.462587682163822,-8.102371751156669,26.14482640289331,-5.369332465562183,-8.130588266925315,26.233714968975203
0.7000000000000001,-5.7150778184862885,-8.13183336441037,25.904535436408242,-5.632454497941922,-8.154806990274501,25.983346404544122
0.71,-5.947203528425805,-8.178883395553418,25.692156770736236,-5.873763820078904,-8.19675009996043,25.761921534234205
0.72,-6.162520610432248,-8.242340255087564,25.506656290765747,-6.0969606040754005,-8.255298096779134,25.568225110098872
0.73,-6.364126917915445,-8.320880890707542,25.347303278425485,-6.305279555970141,-8.329172499746216,25.401371068216577
0.74,-6.55469395760157,-8.413069264497276,25.21360120005797,-6.501520768115535,-8.416969720013775,25.260730511040908
0.75,-6.736497667914244,-8.517374715023093,25.1052277751153,-6.688080223091816,-8.517183643150952,25.145869204816137
0.76,-6.911447628610223,-8.632183123150996,25.021982341189837,-6.866979182754558,-8.62821978750223,25.056492817305035
0.77,-7.081114323473508,-8.755802998269584,24.963738873614187,-7.039891804797173,-8.74840371227879,24.992398122459583
0.78,-7.2467542043160975,-8.886468512497592,24.93040316062552,-7.208170745478558,-8.875985671010715,24.953428731027042
0.79,-7.409332585209344,-9.022341057040169,24.92187297272395,-7.372870667351263,-9.00914325955077,24.939434118148924
0.8,-7.5695444928105,-9.161510776704159,24.93800035673241,-7.53476972725054,-9.145983544036227,24.950231055344403
0.81,-7.72783371009921,-9.301999240629666,24.978555531612272,-7.694389254782294,-9.28454602706262,24.985566792241446
0.8200000000000001,-7.884410409101155,-9.441764759820366,25.04319193697813,-7.852011945731429,-9.422807731419054,25.04508362257677
0.8300000000000001,-8.039267735540989,-9.578710854519144,25.13141277853822,-8.007698945621222,-9.558691229463598,25.128284940249095
0.84,-8.192197836462286,-9.710699202675908,25.24253910076519,-8.161306252576567,-9.69007678780733,25.234502872521016
0.85,-8.342807828975669,-9.835567620455032,25.375680153393205,-8.312500952548913,-9.814819309089557,25.362868134214466
0.86,-8.490536233896815,-9.951153627694026,25.52970689116206,-8.460777777247854,-9.930770609003314,25.51228285165521
0.87,-8.634670369910594,-10.05532383689381,25.703229698752114,-8.605476468678129,-10.035807324884527,25.681397474429787
0.88,-8.774365162343083,-10.146009068054902,25.894581682302917,-8.745800419980098,-10.127864441284542,25.868592943954447
0.89,-8.90866376280511,-10.22124471328809,26.101808867405087,-8.880836991852822,-10.204974095330936,26.071969481609383
0.9,-9.036520285857142,-10.27921555469462,26.322668719332608,-9.009579797812274,-10.265308767150119,26.28934339871577
0.91,-9.156824776131366,-10.318303463969768,26.55463829644722,-9.130953147259541,-10.307227693993237,26.518253196111424
0.92,-9.268430440642579,-10.337136426891778,26.79493304943635,-9.243838661401456,-10.3293248234419,26.75597601294083
0.93,-9.370182921848924,-10.334636578476218,27.040536948612633,-9.347103888783057,-10.330476128383468,26.999555161595765
0.9400000000000001,-9.460951174065075,-10.310064649374214,27.288244017175725,-9.439632595671961,-10.309884069469009,27.24583894683386
0.9500000000000001,-9.539659401857701,-10.263058420167495,27.534710821814237,-9.520356149943927,-10.267116482547895,27.491530452655805
0.96,-9.605319200477384,-10.193662304495136,27.776518745078807,-9.588285244568524,-10.202137307633578,27.733247221175954
0.97,-9.657060917184829,-10.102345663215907,28.01024406352318,-9.642541014901763,-10.115326765036897,27.96758893330605
0.98,-9.69416313139089,-9.990008002406649,28.2325330752049,-9.682384551947251,-10.007488989975775,28.19121083507143
0.99,-9.716079171040615,-9.857969638289868,28.440179482268885,-9.707243665284416,-9.879845619423095,28.400899820146428
1.0,-9.722459464080291,-9.707947293859098,28.63020023502213,-9.716735780871884,-9.734014707841604,28.593649720211207
1.01,-9.713168716368859,-9.542015130987936,28.799906232246485,-9.710685965729576,-9.571975278388715,28.766732252381843
1.02,-9.688297132814576,-9.362552783976552,28.946964520536984,-9.689139242186748,-9.396018703665089,28.917760246641052
1.03,-9.648165053551566,-9.172182295952165,29.069449018754774,-9.652366544642128,-9.208688803938282,29.044740058280176
1.04,-9.59332072942664,-8.97369723345421,29.165877274296243,-9.600863995146623,-9.01271364892326,29.146110659832576
1.05,-9.524531329122231,-8.769987497332322,29.235231900517505,-9.535345504751035,-8.810932372794266,29.220767862918432
1.06,-9.442767639224844,-8.563963520501666,29.27696641112774,-9.456729071952758,-8.606220612799452,29.268073136260163
1.07,-9.349183042478545,-8.358483288332602,29.290995588208986,-9.366117328679174,-8.401418012219445,29.287847084058146
1.08,-9.245087840807239,-8.156285812447122,29.277671925529454,-9.264773309825257,-8.199261281534946,29.280348928325818
1.09,-9.131920245589876,-7.959933367034222,29.237750836086175,-9.154092552897245,-8.002325514409707,29.246243966709965
1.1,-9.011214893288997,-7.771764792674008,29.172345899408164,-9.035572768149901,-7.812975774017666,29.186561528882415
1.11,-8.88457069653475,-7.593860717403762,29.082878585431786,-8.91078234657285,-7.633330056639826,29.10264624060849
1.12,-8.75361896724528,-7.428021133182219,28.971024393926506,-8.781328850148991,-7.465234681391385,28.996105187442197
1.1300000000000001,-8.619993015747172,-7.2757548096603735,28.83865846555965,-8.64882883836582,-7.310251063788528,28.868754302218747
1.1400000000000001,-8.485300185442265,-7.138279523772616,28.687803035608436,-8.514879754983186,-7.169653572673625,28.722565872468245
1.1500000000000001,-8.35109702285837,-7.016531578208581,28.52057860211915,-8.381034791577983,-7.04443673882008,28.55961946733528
1.16,-8.218868098328091,-6.911182811267195,28.339160240439767,-8.248781191755764,-6.935330259209754,28.382057639042642
1.17,-8.090008743113374,-6.822663193248439,28.145739940745052,-8.119522342869537,-6.842819916194052,28.19204742175135
1.18,-7.965811774736778,-6.751187096147106,27.942495399642535,-7.994563763987831,-6.76717254504679,27.99174813951847
1.19,-7.847458081630056,-6.696781441064811,27.731565254095795,-7.87510291639835,-6.708463297626887,27.783285604420726
1.2,-7.736010848605959,-6.659314416279855,27.515030499558442,-7.762222616781414,-6.66660362932885,27.568732464896502
1.21,-7.63241296945961,-6.638522840015445,27.294901443329564,-7.656887711155561,-6.641368684130663,27.350094203418255
1.22,-7.537487268016425,-6.6340379875890605,27.07310957554434,-7.559944583945641,-6.632423005225827,27.12930011050084
1.23,-7.451938998848691,-6.645408511372672,26.851503555522022,-7.472123085527572,-6.639343861615586,26.908198561310584
1.24,-7.376360167926219,-6.67212023370152,26.631848508544604,-7.394040249379609,-6.6616413487650155,26.68855557464473
1.25,-7.311235161706351,-6.713612382667667,26.415827817882967,-7.326205508356314,-6.698775392750473,26.472056194900173
1.26,-7.256947165028242,-6.7692902349901,26.205046748558104,-7.26902681023701,-6.750169111724421,26.260307738940902
