time,true_x,true_y,true_z,sindy_x,sindy_y,sindy_z
0.0,0.0,1.0,1.05,0.0,1.0,1.05
0.01,0.09510645945769586,1.003037080272016,1.0228488796652342,0.09487835688322817,1.0033327219290002,1.024079747557199
0.02,0.1826511056986071,1.0305090618830024,0.997333145161212,0.18225198800023373,1.0308568604320993,0.999755416691197
0.03,0.2655841865061272,1.0805921600609891,0.9734278598006884,0.26503679988577994,1.0807819925766418,0.9770031482973195
0.04,0.3464386409831926,1.1522069170919007,0.9511867218873387,0.34573809631168595,1.1520474319957599,0.9558765076297364
0.05,0.42743535371698516,1.2449158048895224,0.930734576053884,0.42655377622684854,1.2442222671049532,0.9364991154228858
0.06,0.5105701202271063,1.3588463207516068,0.9122679155121016,0.509459492688572,1.357430389613681,0.9190651258632299
0.07,0.59768590716125,1.4946354958279724,0.8960619740027284,0.5962796368977471,1.4922961056649209,0.9038460804943743
0.08,0.6905339928385518,1.6533916388234409,0.8824836740041236,0.6887472686789204,1.649906768412242,0.8912035423613728
0.09,0.7908262571786454,1.836670768458472,0.8720105972294004,0.788555513918988,1.831789536584312,0.881607561547618
0.1,0.9002808994466552,2.0464650074852684,0.865256532636993,0.8974024608453114,2.0398998645885333,0.8756615436205814
0.11,1.0206631648422038,2.2852009438830216,0.8630046584531107,1.017031184788297,2.2766196758923423,0.8741345555747857
0.12,1.1538224914620954,2.555745935761201,0.866249955596031,1.1492661925003567,2.5447633638628706,0.8780025576528702
0.13,1.3017269889681968,2.8614206032407616,0.8762528510067041,1.2960472811663935,2.847589793131091,0.8885005280821848
0.14,1.4664960607601305,3.206015355529767,0.8946067031876649,1.4594615333613248,3.1888183164975925,0.907187975126713
0.15,1.6504315872832442,3.5938085299839044,0.923322331948494,1.6417738957601198,3.572646437175092,0.9360309212110369
0.16,1.8560478224736088,4.02958294968499,0.9649334859348735,1.8454564920035774,4.003766072300224,0.9775040997513639
0.17,2.0860997769663627,4.5186366380347875,1.0226278495578751,2.073216469627001,4.487374323000056,1.0347178116430986
0.18,2.3436094102467946,5.066781784595934,1.1004089568506077,2.328021741088185,5.029173107753009,1.1115746016212988
0.19,2.6318883321684963,5.680323625838233,1.2032950867752508,2.6131234035045154,5.635349808969639,1.2129615451528364
0.2,2.9545549125854405,6.366007904880162,1.3375614013706971,2.9320728516257546,6.312528013787521,1.3449843199115108
0.21,3.315542638592267,7.130920918217718,1.5110316225624192,3.2887305589292115,7.067673253759695,1.5152490908648661
0.22,3.719095013813001,7.982320504837997,1.7334241299914783,3.687262100054081,7.907933094253437,1.733197103952646
0.23,4.169740335451077,8.927368413994381,2.01675436792112,4.132115115164677,8.840383743087825,2.010494033400211
0.24,4.672237174350783,9.97272574950907,2.375789219015086,4.62796845569169,9.871646408889964,2.361470456737366
0.25,5.23147789455938,11.123961303342137,2.82853815230604,5.179641595395068,11.0073261235317,2.803599724856573
0.26,5.8523335862563135,12.384711581686377,3.396747847717031,5.7919484903154705,12.251214485210657,3.357982711707759
0.27,6.53941890272139,13.755521004145875,4.106338626151974,6.469475512948438,13.604187839415125,4.049782579708819
0.28,7.296750480247249,15.232287157945967,4.987679414869823,7.2162582372646,15.062727954105686,4.90851348027027
0.29,8.127267994526319,16.804246083702953,6.075538657655825,8.035327587958513,16.617000722967656,5.968032116683972
0.3,9.03218552486097,18.451471266363626,7.408473574290213,8.92809390518421,18.24846197116143,7.266009699349013
0.31,10.010144975143607,20.14194497913159,9.027333592942673,9.89354078516952,19.92703574779666,8.842579311899424
0.32,11.056158507507012,21.828415557083733,10.9724781528724,10.92721374952669,21.608051868851028,10.737777320151912
0.33,12.160359580421934,23.44550174761097,13.279282008914642,12.02001818365199,23.22935714605123,12.98736460456753
0.34,13.306640151786798,24.90784664028015,15.971599993589424,13.156893706108862,24.709334410049376,15.6166894533188
0.35000000000000003,14.471339414968265,26.11051368393883,19.053183336957026,14.315513407003985,25.9469383676603,18.632531997203237
0.36,15.62226337588319,26.933120553743233,22.49768279016372,15.465263913291258,26.825170789942018,22.013447947698825
0.37,16.718432572751734,27.249170535304092,26.238864206990172,16.566877625323237,27.219442297408516,25.700045528810744
0.38,17.711028551377186,26.941328338311056,30.163827947399977,17.573168649987174,27.011686695092152,29.587751203013053
0.39,18.545964031035624,25.92173785778289,34.11287764856357,18.431300294652623,26.10963303044583,33.5255249042443
0.4,19.168260386433168,24.15401413405033,37.889450509891574,19.08680928179482,24.468348365091263,37.32395791256034
0.41000000000000003,19.527954290128633,21.671096984202748,41.28147302037032,19.489195210757277,22.108722111382065,40.77449472711961
0.42,19.586664377785404,18.58218868431399,44.09166562444623,19.598320364564216,19.126318650660604,43.678023521313854
0.43,19.323452739499814,15.063923586978857,46.1699774846329,19.390354398867615,15.685397385978913,45.876833641210794
0.44,18.738503160627133,11.33581199482181,47.438872286552446,18.861813947503503,11.99723457943469,47.281112612799504
0.45,17.85357194519067,7.625908967948116,47.90357421734034,18.030578969234366,8.287614028189234,47.8818271020374
0.46,16.709045119251908,4.136445688153439,47.64452461070444,16.933562302786438,4.762551578881818,47.74630005822963
0.47000000000000003,15.358390970384022,1.0186911394546048,46.79563317306683,15.621649427705387,1.5816173538579767,46.99895095318831
0.48,13.86141866149366,-1.637975103548071,45.51615791093272,14.153205148929699,-1.155405955124081,45.79430908362742
0.49,12.277825141249176,-3.8032751055767395,43.96445316659415,12.58761154404191,-3.4080823939045377,44.29048900455125
0.5,10.662115281427987,-5.493938295207952,42.27908193297139,10.979985262528812,-5.184849035304724,42.629097902503894
