true_x,true_y,true_z,pred_x,pred_y,pred_z
-5.638671,-6.578675,21.978216,-5.590087845,-6.300354237,21.77522106
-5.7416105,-6.8599253,21.777067,-5.692790026,-6.564048746,21.57617086
-5.862237,-7.155966,21.605156,-5.813195436,-6.843860075,21.40456218
-6.000257,-7.4664145,21.464472,-5.951023166,-7.139763511,21.26207115
-6.155361,-7.7907147,21.35711,-6.105983097,-7.451580686,21.15055364
-6.3272057,-8.128084,21.285267,-6.277758366,-7.778932481,21.07203575
-6.5153923,-8.477455,21.251228,-6.465984535,-8.121186818,21.02870371
-6.719443,-8.83742,21.257334,-6.670224465,-8.477402534,21.02289024
-6.9387717,-9.206169,21.305939,-6.889940918,-8.846268933,21.05704199
-7.1726546,-9.581427,21.399368,-7.124464935,-9.22604261,21.13368344
-7.420195,-9.960397,21.539837,-7.372961552,-9.614480181,21.25536756
-7.6802883,-10.339708,21.72937,-7.634393238,-10.00877541,21.42460364
-7.9515843,-10.715373,21.969688,-7.907481859,-10.40549321,21.64377315
-8.232451,-11.08276,22.262083,-8.190669507,-10.80052136,21.915018
-8.520941,-11.436596,22.60727,-8.482081712,-11.18902416,22.24010862
-8.814757,-11.77099,23.005224,-8.779494242,-11.56543158,22.62028891
-9.111237,-12.079503,23.455011,-9.080306126,-11.9234487,23.05609774
-9.407331,-12.355261,23.954601,-9.381522391,-12.2561063,23.54717059
-9.699619,-12.591122,24.500715,-9.679750007,-12.55586556,24.09202988
-9.984315,-12.779896,25.088675,-9.971214117,-12.81477521,24.68787378
-10.257322,-12.914625,25.71231,-10.25179117,-13.02469729,25.33037778
-10.514295,-12.988907,26.363922,-10.51707161,-13.17759879,26.01352907
-10.7507305,-12.99725,27.03432,-10.762449,-13.26590885,26.72951168
-10.962094,-12.935444,27.712976,-10.98323219,-13.28292291,27.46867095
-11.143957,-12.800915,28.388256,-11.1747922,-13.22325046,28.21958029
-11.29216,-12.593027,29.047781,-11.33272194,-13.08325442,28.96922604
-11.40298,-12.313301,29.678858,-11.45301694,-12.86146487,29.70333171
-11.473304,-11.96552,30.269,-11.53225433,-12.55890881,30.40680529
-11.500782,-11.555694,30.806454,-11.56776748,-12.17931793,31.06431793
-11.483962,-11.091875,31.280746,-11.55779478,-11.72918426,31.6609654
-11.422382,-10.58384,31.68314,-11.50159649,-11.21761901,32.18297949
-11.316621,-10.042641,32.007004,-11.3995213,-10.65602441,32.61842823
-11.168294,-9.480077,32.248047,-11.25302393,-10.05758193,32.9578383
-10.979999,-8.908143,32.40441,-11.06462032,-9.436599365,33.1946849
-10.755216,-8.338472,32.476578,-10.83779356,-8.807769283,33.32571132
-10.498163,-7.7818546,32.467175,-10.57685199,-8.185407101,33.35101124
-10.213626,-7.247838,32.38065,-10.28675021,-7.582742326,33.27391539
-9.906773,-6.7444577,32.2229,-9.972890487,-7.011322119,33.10064481
-9.582964,-6.27808,32.000847,-9.64091601,-6.480580995,32.83982604
-9.247573,-5.853373,31.722017,-9.296512438,-5.997596286,32.50186839
-8.905827,-5.4733725,31.394196,-8.94522656,-5.567034727,32.09830196
-8.562672,-5.139632,31.025091,-8.592314499,-5.191274086,31.64111981
-8.222666,-4.8524218,30.622097,-8.24261995,-4.870659524,31.14218207
-7.889907,-4.610959,30.192114,-7.9004877,-4.603851738,30.61272236
-7.5679865,-4.4136457,29.741442,-7.569712065,-4.388222261,30.0629788
-7.2599735,-4.258297,29.27572,-7.2535142,-4.220255052,29.50195131
-6.9684157,-4.142346,28.799921,-6.954546709,-4.095919155,28.93728978
-6.6953635,-4.063026,28.318378,-6.674918667,-4.010985574,28.37527899
-6.4424047,-4.017516,27.834831,-6.41623646,-3.961287555,27.82091522
-6.2107115,-4.0030584,27.352493,-6.179655411,-3.94290731,27.27803433
-6.001086,-4.017048,26.874117,-5.965936568,-3.952307735,26.74947605
-5.8140197,-4.0570903,26.402071,-5.775506519,-3.986399993,26.23726309
-5.6497374,-4.1210446,25.938402,-5.608516785,-4.042581237,25.74277809
-5.5082555,-4.207043,25.484907,-5.464898619,-4.118724553,25.26692501
-5.3894215,-4.313496,25.043182,-5.344415385,-4.213158838,24.8102762
-5.292962,-4.4390903,24.614681,-5.246708629,-4.324626363,24.37319263
-5.218516,-4.5827723,24.200758,-5.171338083,-4.452235622,23.95592601
-5.165669,-4.7437305,23.802704,-5.117815768,-4.595413234,23.55869817
-5.133979,-4.9213696,23.421793,-5.085634455,-4.753851763,23.18176035
-5.122999,-5.115285,23.059296,-5.074290903,-4.927461774,22.82544654
-5.1322947,-5.32523,22.716518,-5.083302358,-5.116328142,22.49020292
-5.161454,-5.5510864,22.394825,-5.112220303,-5.320668086,22.17661614
-5.2101007,-5.792829,22.095655,-5.16063747,-5.540790302,21.8854333
-5.2778926,-6.0504913,21.820545,-5.22819169,-5.777059596,21.61757806
-5.364525,-6.3241262,21.57114,-5.314566994,-6.029860107,21.37416014
-5.4697275,-6.6137676,21.349216,-5.419488387,-6.299556801,21.15648418
-5.593255,-6.9193854,21.156687,-5.542715385,-6.586460259,20.96605862
-5.734878,-7.2408376,20.99561,-5.684030742,-6.890784673,20.80459851
-5.894369,-7.5778217,20.868187,-5.843225324,-7.212604112,20.67403218
-6.071482,-7.929816,20.776775,-6.020081198,-7.55180427,20.57649489
-6.265932,-8.296019,20.723856,-6.214349011,-7.90802871,20.51432825
-6.477369,-8.675285,20.71203,-6.425721388,-8.280618468,20.49006687
-6.7053475,-9.066054,20.743977,-6.653804261,-8.668547258,20.50642128
-6.9492936,-9.466276,20.82241,-6.898082357,-9.070347286,20.56624317
-7.208465,-9.873342,20.950008,-7.157881389,-9.484033725,20.67248609
-7.4819136,-10.284009,21.129333,-7.432326802,-9.907023296,20.82813907
-7.768438,-10.694343,21.362719,-7.720299229,-10.33605505,21.03614679
-8.066542,-11.099661,21.652136,-8.020388425,-10.76711471,21.29930114
-8.374389,-11.494508,21.999033,-8.330846728,-11.19536593,21.62011045
-8.689759,-11.872657,22.404154,-8.649544162,-11.61510508,22.00062964
-9.010017,-12.227153,22.867327,-8.973929322,-12.01974302,22.44227155
-9.332084,-12.5504,23.387259,-9.300997334,-12.4018242,22.94557794
-9.652427,-12.834321,23.961311,-9.627272674,-12.75309781,23.50997541
-9.967064,-13.0705805,24.5853,-9.948808058,-13.06465852,24.13351571
-10.2716,-13.250871,25.253342,-10.2612081,-13.32715873,24.81261035
-10.561283,-13.367283,25.957737,-10.55967936,-13.53110494,25.54179505
-10.831095,-13.412717,26.68897,-10.83911518,-13.66724701,26.31353264
-11.075879,-13.381338,27.435795,-11.09421173,-13.72703892,27.11809942
-11.290492,-13.26903,28.18546,-11.31962199,-13.70316189,27.94357284
-11.469991,-13.073812,28.924068,-11.51013894,-13.59008519,28.77596241
-11.609829,-12.796172,29.637068,-11.66090203,-13.38460367,29.59950094
-11.706069,-12.439278,30.309832,-11.76761887,-13.0863225,30.39710637
-11.755581,-12.009012,30.928333,-11.82678106,-12.69800297,31.15100986
-11.756219,-11.513835,31.479797,-11.8358636,-12.22573945,31.84353082
-11.70696,-10.964447,31.953331,-11.79348794,-11.67890625,32.45792943
-11.607982,-10.373297,32.34043,-11.69953006,-11.06985843,32.97929421
-11.460693,-9.753949,32.635326,-11.5551661,-10.41338663,33.39537041
-11.267685,-9.120403,32.835148,-11.36285014,-9.725962481,33.69724292
-11.032625,-8.48639,32.93989,-11.12621704,-9.024847143,33.87982289
-10.760102,-7.86475,32.952183,-10.84992882,-8.327128079,33.94206358
-10.455422,-7.2669053,32.87692,-10.53946722,-7.648803168,33.8868869
-10.124393,-6.702494,32.7208,-10.20089891,-7.003980631,33.72085183
-9.77309,-6.179152,32.491806,-9.840626047,-6.404280974,33.45357534
-9.407635,-5.7024536,32.19869,-9.465138668,-5.858473361,33.09700206
-9.034002,-5.2759895,31.850498,-9.08079493,-5.372363036,32.66456764
-8.657851,-4.901542,31.456196,-8.693629604,-4.948909322,32.17037669
-8.284393,-4.5793376,31.02433,-8.309200825,-4.58853078,31.62844011
-7.9183016,-4.30833,30.562828,-7.932484835,-4.289538862,31.05203345
-7.5636563,-4.086499,30.07886,-7.567809648,-4.048637885,30.45321621
-7.223922,-3.9111316,29.578777,-7.21882658,-3.861435703,29.842523
-6.90195,-3.7790778,29.068108,-6.888516615,-3.722918066,29.22881009
-6.6000104,-3.6869698,28.551596,-6.579220682,-3.627855075,28.61924338
-6.3198338,-3.6314003,28.033268,-6.292690261,-3.571123397,28.01939347
